source_id,source_name,institution,url,local_filename,download_date,file_size_bytes
commune_geometries_primary,Division Politica Administrativa 2023,IDE Chile / SUBDERE,https://www.geoportal.cl/geoportal/catalog/download/912598ad-ac92-35f6-8045-098f214bd9c2,data\raw\division-politica-administrativa-2023.zip,2026-05-29,310992026
population_communal_annual,"Estimaciones y proyecciones de la poblacion de Chile a nivel comunal 2002-2035, base Censo 2017",Instituto Nacional de Estadisticas de Chile (INE),https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/estimaciones-y-proyecciones-2002-2035-comunas.xlsx?sfvrsn=8c87fc3f_3,data\raw\estimaciones-y-proyecciones-2002-2035-comunas.xlsx,2026-05-29,11057485
