codigo_comuna,nombre_comuna,codigo_region,nombre_region,anio,id_metrica,nombre_metrica,valor,unidad,fuente,fecha_descarga
13104,Conchalí,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13104,Conchalí,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,12.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13104,Conchalí,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13104,Conchalí,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13104,Conchalí,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13104,Conchalí,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13104,Conchalí,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,16.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,12.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13105,El Bosque,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,19.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,15.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,20.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,20.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,18.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13106,Estación Central,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,26.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13107,Huechuraba,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,22.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13108,Independencia,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13109,La Cisterna,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,13.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,16.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,20.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,17.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13110,La Florida,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,13.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,12.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,19.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13111,La Granja,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,12.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13112,La Pintana,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,18.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13112,La Pintana,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,23.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13112,La Pintana,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,39.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
